serial;Group;Mood before;Lot1;Lot2;Lot3;invs_A;invs_B;invs_C;Age;Gender;Marital;Kids_no;Birth_order;residence;Religion;Overdradt;Mood after;music_rec;music_like;music_effect;music_help;earing
1;0;5;80;100;80;600;300;100;23;0;1;0;3;2;2;2;6;3;3;1;3;1
2;0;2;90;90;90;500;500;;24;0;1;0;3;2;4;2;2;1;1;1;2;1
3;0;5;100;100;100;300;700;;24;0;1;0;1;4;4;2;6;1;3;3;4;1
4;0;7;80;70;80;400;600;;24;0;1;0;1;2;4;1;7;2;3;3;3;1
5;0;6;100;100;100;;1000;;24;0;1;0;1;2;4;1;5;2;3;4;4;1
6;0;5;80;60;80;250;400;350;24;0;1;0;1;2;3;3;5;2;2;1;3;1
7;0;4;100;100;100;;1000;;25;0;1;0;1;2;4;3;4;2;2;1;2;1
8;0;5;100;100;100;600;400;;25;0;1;0;1;2;3;1;6;1;1;3;2;1
10;0;6;80;70;50;400;600;;25;0;1;0;1;2;4;1;6;1;2;1;3;1
11;0;7;90;90;70;400;400;200;25;0;2;0;1;1;4;1;7;1;2;3;3;1
12;0;4;100;100;100;800;200;;25;0;1;0;1;2;4;1;5;2;2;1;3;1
13;0;5;50;70;60;400;400;200;25;0;1;0;3;4;4;3;6;1;2;1;3;1
14;0;6;100;100;100;700;300;;26;0;1;0;2;4;4;1;6;2;2;4;3;1
15;0;6;80;50;80;400;600;;26;0;1;0;3;2;4;2;5;1;1;4;2;1
16;0;7;80;70;60;300;600;100;26;0;1;0;2;2;4;1;7;1;3;1;1;1
17;0;6;100;100;100;600;400;;26;0;1;0;1;4;4;1;6;2;2;1;2;1
19;0;4;70;60;90;300;600;100;26;0;1;0;2;2;5;4;4;1;2;1;3;2
20;0;6;50;30;40;250;750;;26;0;1;0;2;2;4;2;6;1;2;1;3;1
21;0;5;80;100;80;700;300;;26;0;1;0;2;1;4;1;5;2;2;3;4;1
22;0;6;20;50;60;800;200;;26;0;1;0;1;2;4;1;6;1;1;1;3;1
23;0;7;100;100;100;;1000;;26;0;1;0;2;4;1;1;7;1;2;5;5;1
24;0;5;80;100;90;500;500;;26;0;2;0;3;2;2;3;5;2;2;1;3;1
25;0;5;36;100;29;380;410;210;27;0;1;0;3;2;4;2;4;2;2;3;2;1
26;0;6;100;100;40;500;500;;27;0;2;0;1;1;3;3;6;2;3;1;3;1
27;0;6;100;90;100;500;500;;27;0;1;0;3;2;3;2;6;2;3;3;3;1
28;0;4;100;100;100;;;1000;27;0;2;0;2;1;4;2;4;2;3;4;3;1
29;0;7;100;15;100;;1000;;27;0;1;0;3;4;4;2;7;1;2;1;3;1
31;0;7;100;75;100;300;600;100;27;0;1;0;1;2;4;3;7;1;2;1;3;1
32;0;4;90;99;100;700;300;;27;0;1;0;1;4;4;3;4;2;2;2;5;1
33;0;6;90;60;80;600;400;;27;0;1;0;2;4;4;2;6;2;2;1;3;1
34;0;7;100;100;100;200;800;;27;0;2;1;4;1;4;2;7;2;3;1;3;1
35;0;4;100;80;100;200;800;;27;0;1;0;3;2;4;1;4;2;2;2;3;1
36;0;6;80;100;100;500;500;;27;0;1;0;3;2;4;3;7;2;3;2;4;1
37;0;6;100;100;100;;1000;;28;0;1;0;2;2;4;1;6;2;3;1;3;1
38;0;4;100;100;100;300;600;100;28;0;1;0;2;4;4;3;5;1;2;3;4;1
40;0;5;100;100;100;;1000;;28;0;1;0;1;2;4;1;5;1;2;1;3;1
41;0;5;100;100;100;650;350;;28;0;1;0;1;4;5;1;5;2;2;1;3;1
42;0;4;80;100;70;400;600;;29;0;1;1;2;4;1;3;5;2;3;2;2;1
43;0;6;100;100;100;;1000;;29;0;1;0;1;4;4;1;6;1;2;1;2;1
44;0;5;65;70;80;500;200;300;29;0;1;0;2;2;4;1;4;1;3;2;3;1
45;0;6;60;100;65;400;500;100;29;0;1;0;2;4;4;2;6;2;3;3;3;1
46;0;3;70;20;80;250;750;;29;0;1;0;2;4;4;3;5;3;2;3;3;1
47;0;6;100;70;56;300;700;;31;0;2;0;3;4;4;1;6;1;1;2;2;1
48;0;7;100;100;100;300;700;;31;0;2;3;1;1;5;2;7;1;3;4;3;1
49;0;6;100;70;56;300;700;;31;0;2;0;3;4;4;1;6;1;1;2;2;1
50;0;7;100;100;100;300;700;;31;0;2;3;1;1;5;2;7;1;3;4;3;1
51;0;6;90;25;90;700;300;;31;0;2;2;1;4;3;4;6;3;3;1;4;1
52;0;4;100;80;30;600;400;;32;0;2;1;2;1;5;1;4;1;1;4;2;1
53;0;4;80;30;20;900;100;;32;0;2;1;2;1;5;1;4;1;1;4;2;1
54;0;5;100;70;100;;1000;;32;0;2;2;2;4;3;4;4;2;3;2;3;1
55;0;6;50;60;20;400;600;;32;0;2;2;3;1;4;1;6;1;2;3;3;2
56;0;4;40;50;30;500;500;;32;0;2;2;3;1;4;1;4;1;2;3;3;2
57;0;5;60;96;70;600;400;;33;0;2;2;1;1;4;2;5;2;1;2;3;1
59;0;4;0;100;75;300;700;;34;0;2;5;3;1;1;2;5;1;1;2;3;1
60;0;4;100;50;100;500;500;;34;0;2;3;1;1;4;4;7;1;2;3;3;1
61;0;4;100;100;75;300;700;;34;0;2;5;3;1;1;2;5;1;1;2;3;1
62;0;4;100;50;100;500;500;;34;0;2;3;1;1;4;4;7;1;2;3;3;1
65;0;5;50;40;60;200;600;200;37;0;2;3;1;2;3;4;4;2;3;2;4;1
67;0;5;70;90;80;100;900;;38;0;2;3;1;1;4;4;5;1;2;1;3;1
69;0;6;60;100;100;700;300;;22;1;1;0;2;2;2;3;6;1;2;2;3;1
70;0;5;70;60;70;200;600;200;22;1;1;0;1;2;4;3;5;1;2;1;3;1
71;0;7;70;40;70;350;500;150;22;1;1;0;1;2;3;1;7;1;3;1;3;1
72;0;7;80;70;90;600;300;100;23;1;1;0;1;2;4;2;7;1;1;4;2;1
73;0;7;80;100;80;450;500;50;23;1;1;0;1;2;4;1;6;2;2;2;2;1
74;0;3;80;70;70;600;300;100;23;1;1;0;1;2;3;1;4;1;1;3;2;1
75;0;5;90;70;60;600;200;200;23;1;1;0;1;2;4;2;5;1;2;1;2;1
76;0;6;80;70;60;300;700;;24;1;1;0;1;4;4;1;7;1;1;2;2;1
78;0;4;70;80;70;300;700;;24;1;1;0;1;2;3;2;5;2;2;4;2;2
79;0;5;100;100;100;500;500;;24;1;1;0;1;2;3;1;5;1;2;1;2;1
80;0;6;70;20;70;420;580;;24;1;1;0;2;2;3;1;7;1;3;4;5;1
81;0;5;35;75;70;250;350;400;24;1;1;0;1;4;4;4;4;1;2;1;3;1
82;0;5;70;90;80;200;;800;24;1;1;0;2;4;4;1;6;1;2;1;4;1
83;0;7;70;20;80;700;100;200;24;1;1;0;1;2;3;1;4;2;2;3;3;1
84;0;6;60;50;50;400;600;;24;1;1;0;1;2;4;2;6;1;2;3;4;1
85;0;4;50;20;90;400;500;100;24;1;1;0;1;2;3;2;5;2;2;1;3;1
86;0;5;90;60;60;400;600;;24;1;1;0;1;2;3;3;5;2;2;1;3;1
87;0;6;85;65;80;450;500;50;25;1;2;0;3;2;3;1;5;3;2;4;3;1
88;0;6;60;60;60;600;400;;25;1;2;0;1;4;3;1;6;1;2;3;1;1
89;0;7;50;80;100;300;500;200;25;1;1;0;1;4;3;3;6;1;2;4;2;1
90;0;6;65;70;45;400;400;200;25;1;1;0;3;2;3;4;6;2;1;1;2;1
91;0;7;20;80;100;300;700;;25;1;1;0;1;4;3;2;7;1;2;5;1;1
92;0;7;50;80;60;300;700;;25;1;2;0;3;1;3;1;7;2;2;3;3;1
94;0;6;70;100;70;700;300;;25;1;1;0;3;2;3;4;4;2;3;2;4;1
95;0;5;80;70;100;300;700;;25;1;1;0;1;4;4;4;5;2;3;1;3;1
96;0;6;60;90;20;950;35;15;25;1;1;0;1;2;3;2;6;1;2;1;3;1
97;0;5;60;90;70;500;200;300;25;1;2;0;2;4;3;4;5;2;2;4;4;1
98;0;3;80;90;60;200;800;;25;1;2;0;2;2;3;1;5;1;2;1;3;1
99;0;6;70;40;70;600;400;;25;1;1;0;1;2;4;2;6;2;2;1;3;1
100;0;5;80;60;70;200;600;200;25;1;1;0;1;2;3;4;5;1;3;3;3;1
101;0;5;60;70;80;600;400;;25;1;1;0;2;2;4;2;5;1;3;1;3;1
102;0;7;70;99;20;400;100;500;26;1;1;0;2;2;1;3;7;1;1;5;1;1
103;0;6;80;80;100;450;350;200;26;1;2;0;4;1;5;3;7;3;2;3;2;1
104;0;6;50;30;30;350;150;500;26;1;1;0;1;2;3;1;6;2;2;3;2;2
105;0;4;60;50;40;600;300;100;26;1;2;0;3;2;3;1;4;2;1;3;2;1
107;0;5;50;50;50;300;700;;26;1;1;0;3;2;4;1;6;1;2;4;2;1
108;0;7;40;40;40;300;500;200;26;1;1;0;3;2;4;1;7;1;1;2;1;1
109;0;7;60;40;80;600;300;100;26;1;1;0;2;2;4;1;7;2;3;4;3;1
110;0;7;70;99;20;400;100;500;26;1;1;0;2;2;1;3;7;1;1;5;1;1
111;0;6;80;80;100;450;350;200;26;1;2;0;4;1;5;3;7;3;2;3;2;1
112;0;7;70;99;65;450;550;;26;1;1;0;2;4;3;1;7;2;2;3;3;1
113;0;6;70;60;70;300;400;300;26;1;1;0;3;2;3;3;6;2;2;1;3;1
114;0;6;100;90;50;500;400;100;26;1;1;0;3;2;2;2;6;2;2;2;3;1
115;0;6;80;85;60;700;300;;26;1;1;0;3;3;4;1;6;1;1;1;3;1
116;0;6;70;50;65;350;450;200;26;1;1;0;2;4;4;1;5;2;2;3;3;1
117;0;5;100;100;100;400;400;200;26;1;1;0;1;4;4;1;5;1;1;2;3;1
119;0;5;50;100;30;400;100;500;27;1;1;0;1;2;4;2;3;3;1;4;1;1
120;0;6;70;78;80;900;80;20;27;1;1;0;1;2;3;3;5;2;3;2;4;1
121;0;6;70;100;65;300;700;;27;1;1;0;3;1;3;2;6;2;2;2;3;1
122;0;6;70;60;100;500;500;;27;1;1;0;2;2;4;2;6;1;3;1;3;1
124;0;6;70;100;65;300;700;;27;1;1;0;3;1;3;2;6;2;2;2;3;1
125;0;6;40;60;50;500;300;200;28;1;1;0;1;2;3;2;6;2;2;3;2;1
126;0;4;100;100;100;1000;;;28;1;1;0;3;4;4;1;5;2;2;1;3;1
127;0;5;100;80;50;500;400;100;29;1;2;0;1;1;5;3;5;2;2;3;2;1
128;0;5;100;100;100;400;600;;29;1;2;0;3;4;3;1;5;2;2;1;3;1
129;0;4;100;100;100;500;500;;29;1;2;0;2;4;4;1;5;1;1;2;3;1
130;0;7;90;60;80;;;1000;29;1;1;0;1;2;4;2;7;1;1;1;3;1
131;0;5;100;100;100;400;600;;29;1;2;0;3;4;3;1;5;2;2;1;3;1
132;0;4;100;100;100;500;500;;29;1;2;0;2;4;4;1;5;1;1;2;3;1
133;0;5;90;60;90;500;400;100;31;1;2;1;3;1;4;2;5;2;2;3;3;1
134;0;5;100;90;80;400;600;;31;1;1;0;2;2;3;2;5;1;3;3;5;1
135;0;5;100;80;60;500;500;;31;1;1;0;2;2;3;2;5;1;3;3;5;1
136;0;6;70;50;40;100;300;600;36;1;2;6;1;1;1;2;6;1;1;4;1;1
137;0;6;70;50;40;500;300;200;36;1;2;6;1;1;1;2;6;1;1;4;1;1
140;0;6;60;40;75;200;700;100;38;1;2;3;4;1;4;4;6;2;2;2;2;1
141;0;7;100;100;10;800;200;;39;1;2;2;2;1;4;2;7;1;2;5;3;1
144;1;5;60;50;60;200;800;;23;0;1;0;3;2;3;2;5;1;1;3;2;1
145;1;7;100;100;100;;1000;;24;0;1;0;2;2;5;1;7;1;3;2;3;1
146;1;3;100;70;50;300;600;100;24;0;1;0;2;2;4;1;3;1;2;3;4;1
147;1;4;60;80;60;400;600;;24;0;1;0;3;2;4;3;7;1;3;1;3;1
148;1;6;100;100;80;600;200;200;25;0;1;0;2;4;4;1;5;1;2;2;2;1
149;1;6;50;65;60;350;400;250;25;0;1;0;3;2;4;1;6;2;2;1;2;1
150;1;5;90;80;90;200;800;;25;0;1;0;2;4;4;1;5;2;2;3;2;1
151;1;7;80;80;60;200;500;300;25;0;1;0;1;2;4;3;6;1;2;2;2;1
152;1;7;80;80;100;400;600;;25;0;1;0;3;4;4;3;7;2;3;1;3;1
153;1;5;60;75;10;300;500;200;26;0;1;0;2;4;4;1;5;2;2;5;1;1
154;1;5;100;100;100;700;200;100;26;0;1;0;1;2;4;1;4;1;2;1;2;1
155;1;6;80;80;100;500;500;;26;0;1;0;2;4;4;2;4;2;1;2;2;1
156;1;3;70;90;70;700;300;;26;0;1;0;2;2;4;2;3;1;1;4;2;1
157;1;6;50;30;30;800;200;;26;0;1;0;1;4;4;1;6;1;2;1;3;1
158;1;5;85;75;80;650;250;100;26;0;1;0;1;2;3;2;4;1;2;3;4;1
159;1;5;100;100;100;;1000;;26;0;1;0;2;2;3;1;5;2;3;1;3;1
160;1;6;100;100;50;200;800;;26;0;1;0;2;4;3;1;6;1;2;3;3;1
161;1;5;70;50;90;800;200;;26;0;1;0;3;2;3;2;5;2;2;3;3;1
162;1;6;70;30;50;700;300;;26;0;1;0;4;2;4;1;6;1;2;1;3;1
163;1;3;100;100;100;700;300;;26;0;1;0;1;2;4;3;5;2;2;2;4;1
164;1;6;85;80;100;100;900;;26;0;2;1;3;2;3;3;6;1;2;3;3;1
165;1;4;60;50;100;400;400;200;27;0;1;0;1;2;4;3;4;1;2;4;2;1
166;1;5;100;100;100;500;500;;27;0;1;0;2;4;3;1;6;1;1;2;1;1
167;1;6;100;75;100;800;200;;27;0;2;1;1;2;1;1;6;1;1;4;2;1
168;1;6;30;70;50;500;500;;27;0;2;0;3;4;4;1;6;1;2;4;3;1
169;1;5;100;100;100;500;500;;27;0;2;0;1;4;3;1;5;2;2;3;3;1
170;1;5;100;87;72;300;700;;27;0;1;0;1;2;4;2;6;1;3;1;3;1
171;1;6;50;50;50;400;400;200;27;0;1;0;1;4;4;4;5;2;3;3;3;1
172;1;6;80;40;100;200;700;100;27;0;1;0;3;4;3;1;6;1;2;1;3;1
173;1;6;30;40;65;400;600;;28;0;1;0;1;4;3;2;6;1;1;4;2;1
174;1;4;50;40;50;400;400;200;28;0;1;0;3;1;3;1;3;2;3;2;2;1
175;1;6;80;20;60;250;500;250;28;0;1;0;3;1;3;1;6;2;3;2;2;1
176;1;6;60;50;60;400;600;;28;0;2;1;2;4;2;1;4;1;2;2;3;1
177;1;7;85;80;75;200;700;100;29;0;1;0;1;4;4;3;7;1;2;2;2;1
178;1;6;60;50;60;700;100;200;29;0;2;0;5;1;4;1;6;1;1;4;1;1
179;1;5;55;45;50;600;300;100;29;0;2;0;5;1;4;1;5;1;1;4;1;1
180;1;4;80;75;95;600;250;150;29;0;1;0;1;4;4;3;5;1;2;4;4;1
181;1;5;60;70;90;300;500;200;29;0;1;0;2;2;4;4;6;1;3;1;4;1
182;1;5;100;100;100;500;500;;30;0;1;0;3;4;4;1;5;2;2;4;2;1
183;1;6;100;100;100;;1000;;33;0;2;2;1;4;4;2;6;2;3;1;3;1
184;1;5;60;50;25;800;200;;34;0;3;1;1;1;4;3;4;3;3;2;4;1
185;1;7;50;30;40;700;300;;34;0;2;4;1;1;2;3;7;1;1;1;3;1
186;1;5;60;50;25;800;200;;34;0;3;1;1;1;4;3;4;3;3;2;4;1
187;1;7;50;30;40;700;300;;34;0;2;4;1;1;2;3;7;1;1;1;3;1
188;1;5;100;100;100;400;500;100;39;0;3;1;1;4;4;2;5;3;2;1;5;1
189;1;4;10;10;10;500;600;100;40;0;2;2;3;4;4;2;4;1;1;1;2;1
191;1;4;70;70;70;400;600;;42;0;2;3;2;1;3;4;4;1;2;1;3;1
193;1;6;50;10;67;300;700;;43;0;2;2;3;1;3;3;5;1;1;1;3;1
194;1;4;67;100;25;330;670;;43;0;2;3;3;1;2;2;4;2;2;1;3;1
196;1;5;40;90;40;400;200;400;26;0;2;3;3;1;3;4;6;1;1;4;2;1
200;1;5;80;100;80;200;800;;21;1;1;0;3;2;4;1;5;2;2;1;2;1
